#pymecavideo
#video = C:/Users/rapha/Documents/Espace/viédos montées/plus300 tmd reso.mp4
#sens axe des X = 1
#sens axe des Y = 1
#origine de pointage = (221.000000, 210.000000)
#index de depart = 1
#echelle 0.125000 m pour 108.018517 pixel
#echelle pointee en (223.000000, 210.000000) (331.000000, 212.000000)
#intervalle de temps : 0.033367
#suivi de 1 point(s)
#temps en seconde, positions en mètre
#
5,54	-0,002314	0,225656	
5,57	-0,004629	0,227970	
5,61	-0,006943	0,226813	
5,64	-0,011572	0,229127	
5,67	-0,012729	0,231442	
5,71	-0,005786	0,227970	
5,74	-0,009258	0,227970	
5,77	-0,006943	0,229127	
5,81	-0,002314	0,229127	
5,84	0,001157	0,227970	
5,87	0,005786	0,224499	
5,91	0,008100	0,224499	
5,94	0,005786	0,223341	
5,97	0,003472	0,223341	
6,01	-0,001157	0,226813	
6,04	-0,002314	0,227970	
6,07	-0,005786	0,227970	
6,11	-0,006943	0,229127	
6,14	-0,008100	0,229127	
6,17	-0,006943	0,229127	
6,21	-0,005786	0,229127	
6,24	-0,005786	0,229127	
6,27	-0,004629	0,229127	
6,31	-0,003472	0,230285	
6,34	-0,001157	0,231442	
6,37	-0,001157	0,230285	
6,41	-0,006943	0,227970	
6,44	-0,001157	0,229127	
6,47	0,000000	0,229127	
6,51	-0,002314	0,227970	
6,54	0,001157	0,227970	
6,57	0,000000	0,226813	
6,61	0,001157	0,226813	
6,64	-0,001157	0,226813	
6,67	-0,001157	0,230285	
6,71	-0,010415	0,229127	
6,74	-0,005786	0,230285	
6,77	-0,011572	0,229127	
6,81	-0,008100	0,229127	
6,84	-0,010415	0,229127	
6,87	-0,006943	0,229127	
6,91	-0,006943	0,229127	
6,94	-0,002314	0,224499	
6,97	-0,001157	0,226813	
7,01	0,002314	0,229127	
7,04	0,004629	0,229127	
7,07	0,003472	0,227970	
7,11	0,003472	0,229127	
7,14	0,000000	0,227970	
7,17	-0,004629	0,227970	
7,21	-0,004629	0,227970	
7,24	-0,006943	0,227970	
7,27	-0,008100	0,227970	
7,31	-0,010415	0,229127	
7,34	-0,006943	0,229127	
7,37	-0,004629	0,230285	
7,41	-0,004629	0,229127	
7,44	-0,001157	0,229127	
7,47	-0,001157	0,230285	
7,51	0,001157	0,230285	
