time [s],x-distance [m],y-distance [m],Øx-velocity [m/s],Øy-velocity [m/s]
"17,8330","-0,0092","0,2104","0,2330","-0,1979"
"17,8500","-0,0057","0,2112","0,2082","0,0515"
"17,8660","-0,0040","0,2095","0,1073","-0,1117"
"17,8830","-0,0004","0,2073","0,2103","-0,1258"
"17,9000","0,0026","0,2098","0,1732","0,1443"
"17,9160","0,0058","0,2079","0,2037","-0,1139"
"17,9330","0,0070","0,2115","0,0680","0,2082"
"17,9500","0,0067","0,2102","-0,0144","-0,0742"
"17,9660","0,0014","0,2132","-0,3308","0,1862"
"17,9830","-0,0007","0,2130","-0,1237","-0,0103"
"18,0000","-0,0040","0,2110","-0,1979","-0,1196"
"18,0160","-0,0066","0,2131","-0,1621","0,1292"
"18,0330","-0,0096","0,2125","-0,1752","-0,0309"
"18,0500","-0,0113","0,2140","-0,1010","0,0845"
"18,0660","-0,0118","0,2119","-0,0329","-0,1270"
"18,0830","-0,0091","0,2127","0,1608","0,0433"
"18,1000","-0,0079","0,2121","0,0742","-0,0350"
"18,1160","-0,0018","0,2125","0,3790","0,0263"
"18,1330","-0,0006","0,2124","0,0680","-0,0041"
"18,1500","0,0018","0,2101","0,1443","-0,1361"
"18,1660","0,0062","0,2089","0,2760","-0,0767"
"18,1830","0,0081","0,2078","0,1072","-0,0639"
"18,2000","0,0074","0,2086","-0,0412","0,0454"
"18,2160","0,0061","0,2112","-0,0789","0,1665"
"18,2330","0,0060","0,2116","-0,0062","0,0206"
"18,2500","0,0002","0,2125","-0,3422","0,0557"
"18,2660","-0,0046","0,2109","-0,3001","-0,1051"
"18,2830","-0,0064","0,2095","-0,1051","-0,0783"
"18,3000","-0,0079","0,2101","-0,0845","0,0309"
"18,3160","-0,0100","0,2107","-0,1336","0,0394"
"18,3330","-0,0100","0,2115","-0,0021","0,0454"
"18,3500","-0,0089","0,2097","0,0660","-0,1010"
"18,3660","-0,0052","0,2095","0,2300","-0,0131"
"18,3830","-0,0054","0,2136","-0,0103","0,2391"
"18,4000","-0,0010","0,2111","0,2577","-0,1464"
"18,4160","0,0008","0,2118","0,1161","0,0460"
"18,4330","0,0032","0,2115","0,1361","-0,0227"
"18,4500","0,0051","0,2118","0,1134","0,0206"
"18,4660","0,0082","0,2073","0,1928","-0,2804"
"18,4830","0,0046","0,2102","-0,2123","0,1711"
"18,5000","0,0037","0,2110","-0,0515","0,0474"
"18,5160","-0,0003","0,2099","-0,2497","-0,0723"
"18,5330","-0,0023","0,2126","-0,1175","0,1587"
"18,5500","-0,0072","0,2109","-0,2866","-0,0990"
"18,5660","-0,0082","0,2113","-0,0657","0,0263"
"18,5830","-0,0112","0,2121","-0,1752","0,0474"
"18,6000","-0,0107","0,2116","0,0309","-0,0330"
"18,6160","-0,0087","0,2122","0,1270","0,0372"
"18,6330","-0,0057","0,2091","0,1732","-0,1814"
"18,6500","-0,0019","0,2106","0,2247","0,0907"
"18,6660","-0,0005","0,2124","0,0876","0,1095"
"18,6830","0,0020","0,2120","0,1464","-0,0206"
"18,7000","0,0071","0,2102","0,3010","-0,1072"
"18,7160","0,0072","0,2128","0,0044","0,1621"
"18,7330","0,0083","0,2114","0,0680","-0,0825"
"18,7500","0,0068","0,2116","-0,0928","0,0144"
"18,7660","0,0015","0,2089","-0,3264","-0,1687"
"18,7830","-0,0000","0,2132","-0,0907","0,2495"
"18,8000","-0,0039","0,2132","-0,2309","0,0000"
"18,8160","-0,0062","0,2101","-0,1402","-0,1950"
"18,8330","-0,0081","0,2101","-0,1113","0,0041"
"18,8500","-0,0113","0,2140","-0,1876","0,2268"
"18,8660","-0,0110","0,2127","0,0131","-0,0767"
"18,8830","-0,0082","0,2134","0,1670","0,0412"
"18,9000","-0,0039","0,2120","0,2515","-0,0866"
"18,9160","-0,0011","0,2121","0,1774","0,0066"
"18,9330","0,0001","0,2130","0,0701","0,0557"
"18,9500","0,0040","0,2130","0,2288","-0,0021"
"18,9660","0,0064","0,2111","0,1490","-0,1183"
"18,9830","0,0053","0,2076","-0,0660","-0,2041"
"19,0000","0,0051","0,2086","-0,0082","0,0598"
"19,0160","0,0041","0,2124","-0,0635","0,2322"
"19,0330","0,0007","0,2093","-0,2020","-0,1794"
"19,0500","-0,0013","0,2120","-0,1175","0,1567"
"19,0660","-0,0043","0,2133","-0,1840","0,0810"
"19,0830","-0,0055","0,2112","-0,0722","-0,1196"
"19,1000","-0,0097","0,2132","-0,2474","0,1134"
"19,1160","-0,0093","0,2141","0,0241","0,0591"
"19,1330","-0,0105","0,2138","-0,0680","-0,0165"
"19,1500","-0,0070","0,2129","0,2041","-0,0536"
"19,1660","-0,0044","0,2131","0,1643","0,0131"
"19,1830","-0,0011","0,2114","0,1959","-0,1031"
"19,2000","0,0009","0,2133","0,1175","0,1134"
"19,2160","0,0040","0,2140","0,1906","0,0416"
"19,2330","0,0062","0,2132","0,1319","-0,0454"
"19,2500","0,0067","0,2160","0,0247","0,1649"
"19,2660","0,0040","0,2189","-0,1643","0,1818"
"19,2830","0,0015","0,2123","-0,1505","-0,3917"
"19,3000","-0,0010","0,2106","-0,1443","-0,0969"
"19,3160","-0,0027","0,2139","-0,1051","0,2037"
"19,3330","-0,0062","0,2145","-0,2103","0,0371"
"19,3500","-0,0065","0,2113","-0,0144","-0,1855"
"19,3660","-0,0107","0,2152","-0,2629","0,2431"
"19,3830","-0,0109","0,2131","-0,0144","-0,1278"
"19,4000","-0,0091","0,2143","0,1051","0,0722"
"19,4160","-0,0053","0,2151","0,2410","0,0482"
"19,4330","-0,0033","0,2156","0,1175","0,0309"
"19,4500","-0,0019","0,2135","0,0825","-0,1237"
"19,4660","0,0009","0,2128","0,1752","-0,0438"
"19,4830","0,0037","0,2147","0,1649","0,1134"
"19,5000","0,0066","0,2126","0,1711","-0,1216"
"19,5160","0,0050","0,2135","-0,1030","0,0548"
"19,5330","0,0044","0,2104","-0,0309","-0,1835"
"19,5500","0,0032","0,2134","-0,0763","0,1752"
"19,5660","0,0007","0,2126","-0,1555","-0,0504"
"19,5830","-0,0052","0,2112","-0,3464","-0,0825"
"19,6000","-0,0062","0,2113","-0,0557","0,0062"
"19,6160","-0,0083","0,2154","-0,1314","0,2563"
"19,6330","-0,0104","0,2121","-0,1258","-0,1917"
"19,6500","-0,0097","0,2108","0,0412","-0,0763"
"19,6660","-0,0098","0,2136","-0,0066","0,1730"
"19,6830","-0,0060","0,2118","0,2268","-0,1072"
"19,7000","-0,0028","0,2137","0,1835","0,1113"
"19,7160","-0,0004","0,2130","0,1533","-0,0416"
"19,7330","0,0024","0,2127","0,1649","-0,0186"
"19,7500","0,0023","0,2163","-0,0062","0,2144"
"19,7660","0,0059","0,2138","0,2212","-0,1577"
"19,7830","0,0058","0,2158","-0,0041","0,1155"
"19,8000","0,0049","0,2153","-0,0536","-0,0268"
"19,8160","0,0022","0,2097","-0,1687","-0,3505"
"19,8330","-0,0021","0,2136","-0,2515","0,2309"
"19,8500","-0,0043","0,2113","-0,1278","-0,1340"
"19,8660","-0,0063","0,2125","-0,1292","0,0701"
"19,8830","-0,0057","0,2129","0,0371","0,0268"
"19,9000","-0,0103","0,2149","-0,2701","0,1175"
"19,9160","-0,0107","0,2138","-0,0219","-0,0701"
"19,9330","-0,0108","0,2144","-0,0082","0,0371"
"19,9500","-0,0060","0,2102","0,2804","-0,2495"
"19,9660","-0,0046","0,2141","0,0898","0,2453"
"19,9830","-0,0002","0,2120","0,2556","-0,1237"
"20,0000","0,0030","0,2139","0,1938","0,1113"
"20,0160","0,0045","0,2127","0,0920","-0,0745"
"20,0330","0,0051","0,2142","0,0330","0,0886"
"20,0500","0,0043","0,2124","-0,0433","-0,1051"
"20,0660","0,0040","0,2119","-0,0197","-0,0307"
"20,0830","0,0016","0,2115","-0,1423","-0,0268"
"20,1000","-0,0012","0,2137","-0,1629","0,1299"
"20,1160","-0,0050","0,2124","-0,2431","-0,0789"
"20,1330","-0,0069","0,2136","-0,1093","0,0660"
"20,1500","-0,0104","0,2119","-0,2041","-0,0969"
"20,1660","-0,0096","0,2126","0,0482","0,0460"
"20,1830","-0,0085","0,2125","0,0660","-0,0082"
"20,2000","-0,0065","0,2136","0,1175","0,0639"
"20,2160","-0,0030","0,2147","0,2169","0,0679"
"20,2330","-0,0011","0,2136","0,1113","-0,0639"
"20,2500","0,0012","0,2117","0,1340","-0,1093"
"20,2660","0,0042","0,2128","0,1928","0,0657"
"20,2830","0,0052","0,2121","0,0557","-0,0392"
"20,3000","0,0054","0,2139","0,0144","0,1072"
"20,3160","0,0044","0,2116","-0,0635","-0,1446"
"20,3330","0,0027","0,2142","-0,0990","0,1505"
"20,3500","-0,0003","0,2122","-0,1773","-0,1175"
"20,3660","-0,0021","0,2141","-0,1117","0,1205"
"20,3830","-0,0044","0,2158","-0,1381","0,0969"
"20,4000","-0,0075","0,2130","-0,1814","-0,1608"
"20,4160","-0,0099","0,2141","-0,1511","0,0679"
"20,4330","-0,0095","0,2156","0,0268","0,0866"
"20,4500","-0,0080","0,2130","0,0866","-0,1505"
"20,4660","-0,0049","0,2116","0,1950","-0,0898"
"20,4830","-0,0020","0,2136","0,1670","0,1175"
"20,5000","-0,0006","0,2113","0,0866","-0,1361"
"20,5160","0,0020","0,2121","0,1577","0,0504"
"20,5330","0,0035","0,2139","0,0907","0,1051"
"20,5500","0,0049","0,2118","0,0804","-0,1196"
"20,5660","0,0041","0,2129","-0,0482","0,0657"
"20,5830","0,0039","0,2096","-0,0124","-0,1938"
"20,6000","0,0018","0,2145","-0,1237","0,2866"
"20,6160","-0,0006","0,2150","-0,1468","0,0350"
"20,6330","-0,0045","0,2144","-0,2330","-0,0392"
"20,6500","-0,0063","0,2135","-0,1031","-0,0495"
"20,6660","-0,0089","0,2130","-0,1621","-0,0350"
"20,6830","-0,0131","0,2152","-0,2495","0,1340"
"20,7000","-0,0105","0,2119","0,1546","-0,1979"
"20,7160","-0,0068","0,2122","0,2300","0,0197"
"20,7330","-0,0039","0,2152","0,1732","0,1794"
"20,7500","-0,0034","0,2145","0,0247","-0,0454"
"20,7660","0,0001","0,2119","0,2212","-0,1621"
"20,7830","0,0025","0,2122","0,1423","0,0186"
"20,8000","0,0038","0,2130","0,0763","0,0495"
"20,8160","0,0044","0,2110","0,0350","-0,1270"
"20,8330","0,0032","0,2124","-0,0722","0,0804"
"20,8500","0,0024","0,2106","-0,0454","-0,1031"
"20,8660","0,0013","0,2123","-0,0701","0,1073"
"20,8830","-0,0012","0,2110","-0,1464","-0,0783"
"20,9000","-0,0040","0,2104","-0,1608","-0,0350"
"20,9160","-0,0106","0,2134","-0,4118","0,1862"
"20,9330","-0,0089","0,2130","0,0990","-0,0206"
"20,9500","-0,0098","0,2131","-0,0536","0,0041"
"20,9660","-0,0074","0,2123","0,1511","-0,0504"
"20,9830","-0,0053","0,2138","0,1216","0,0907"
